 trial position no.            7
 
 
 
 
 
 
 
 
 
 
 
 
   0.117040E+15  -0.188972E+14  -0.326952E+13  -0.514812E+14   0.700848E+13   0.335366E+14
  -0.188972E+14   0.176877E+15  -0.597827E+14   0.373345E+13   0.109750E+14  -0.159520E+13
  -0.326952E+13  -0.597827E+14   0.187273E+15  -0.171807E+14   0.137388E+14   0.528608E+13
  -0.514812E+14   0.373345E+13  -0.171807E+14   0.293885E+15  -0.753102E+14  -0.112784E+15
   0.700848E+13   0.109750E+14   0.137388E+14  -0.753103E+14   0.328861E+15  -0.155772E+15
   0.335366E+14  -0.159520E+13   0.528608E+13  -0.112784E+15  -0.155772E+15   0.619257E+15
 trial position no.           15
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.123577E+15  -0.211800E+14  -0.375200E+13  -0.537836E+14   0.717690E+13   0.362225E+14
  -0.211800E+14   0.196917E+15  -0.669423E+14   0.398657E+13   0.114822E+14  -0.114954E+13
  -0.375200E+13  -0.669423E+14   0.208322E+15  -0.192797E+14   0.156032E+14   0.677191E+13
  -0.537836E+14   0.398657E+13  -0.192797E+14   0.301012E+15  -0.886733E+14  -0.112817E+15
   0.717690E+13   0.114822E+14   0.156031E+14  -0.886733E+14   0.333779E+15  -0.167176E+15
   0.362225E+14  -0.114954E+13   0.677191E+13  -0.112817E+15  -0.167176E+15   0.745508E+15
 trial position no.           16
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.130754E+15  -0.219058E+14  -0.399788E+13  -0.561880E+14   0.767478E+13   0.394802E+14
  -0.219058E+14   0.188406E+15  -0.644532E+14   0.432307E+13   0.113377E+14  -0.132941E+13
  -0.399789E+13  -0.644532E+14   0.199459E+15  -0.198506E+14   0.163704E+14   0.775523E+13
  -0.561880E+14   0.432307E+13  -0.198506E+14   0.306725E+15  -0.104906E+15  -0.122867E+15
   0.767478E+13   0.113377E+14   0.163704E+14  -0.104906E+15   0.337518E+15  -0.187601E+15
   0.394802E+14  -0.132941E+13   0.775523E+13  -0.122867E+15  -0.187601E+15   0.838277E+15
 trial position no.            7
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.879405E+14  -0.150582E+14   0.444018E+13  -0.787972E+14   0.450662E+14   0.339832E+14
  -0.150582E+14   0.738150E+15  -0.957440E+14   0.426772E+14   0.241576E+13  -0.809260E+13
   0.444018E+13  -0.957440E+14   0.313690E+15  -0.874014E+13   0.113372E+14   0.599257E+13
  -0.787972E+14   0.426772E+14  -0.874015E+13   0.675508E+15   0.111725E+15   0.578911E+14
   0.450661E+14   0.241577E+13   0.113372E+14   0.111725E+15   0.492998E+15   0.238147E+15
   0.339832E+14  -0.809260E+13   0.599257E+13   0.578912E+14   0.238147E+15   0.388634E+15
 trial position no.            8
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.934587E+14  -0.158031E+14   0.541900E+13  -0.866577E+14   0.484993E+14   0.342493E+14
  -0.158031E+14   0.612996E+15  -0.828126E+14   0.406275E+14  -0.391083E+12  -0.134420E+14
   0.541900E+13  -0.828126E+14   0.246530E+15  -0.129103E+14   0.120587E+14   0.576979E+13
  -0.866576E+14   0.406275E+14  -0.129103E+14   0.640005E+15   0.272510E+14  -0.593362E+14
   0.484993E+14  -0.391083E+12   0.120587E+14   0.272510E+14   0.438711E+15   0.124700E+15
   0.342493E+14  -0.134420E+14   0.576979E+13  -0.593362E+14   0.124700E+15   0.340471E+15
 trial position no.            9
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.992605E+14  -0.163835E+14   0.622018E+13  -0.942509E+14   0.519315E+14   0.347857E+14
  -0.163835E+14   0.523464E+15  -0.725968E+14   0.389809E+14  -0.254804E+13  -0.171873E+14
   0.622018E+13  -0.725968E+14   0.203759E+15  -0.159586E+14   0.130878E+14   0.597132E+13
  -0.942509E+14   0.389809E+14  -0.159586E+14   0.626021E+15  -0.358376E+14  -0.137120E+15
   0.519315E+14  -0.254804E+13   0.130878E+14  -0.358376E+14   0.405302E+15   0.505535E+14
   0.347857E+14  -0.171873E+14   0.597132E+13  -0.137120E+15   0.505535E+14   0.357074E+15
 trial position no.           10
 
 
 
 
 
 
 
 
 
 
 
 
  Covariance matrix; NOT corrected for  scaling
   0.105125E+15  -0.181202E+14   0.737453E+13  -0.101532E+15   0.553006E+14   0.349230E+14
  -0.181202E+14   0.517359E+15  -0.734718E+14   0.398652E+14  -0.472360E+13  -0.206267E+14
   0.737453E+13  -0.734718E+14   0.195265E+15  -0.195428E+14   0.152173E+14   0.674682E+13
  -0.101532E+15   0.398652E+14  -0.195428E+14   0.631069E+15  -0.789114E+14  -0.178119E+15
   0.553006E+14  -0.472360E+13   0.152173E+14  -0.789114E+14   0.391758E+15   0.105355E+14
   0.349230E+14  -0.206267E+14   0.674682E+13  -0.178119E+15   0.105355E+14   0.426706E+15
 trial position no.           11
 
 
 
 
 
 
 
 
 
 
 
