 
 2D correlation for isub=           1
     8    1.8000    0.7589       229.   39. -108.        72.   53.  -75.   34.41   28.98  0.30338E-07  0.18412E+17
     8    2.1000    0.7308       229.   39. -108.        72.   53.  -76.   35.48   28.58  0.33331E-07  0.17751E+17
     9   -2.1000    0.5741        70.   51.  -83.       239.   40.  -98.   12.06   40.28  0.47956E-07  0.15102E+17
     9   -1.8000    0.6221        72.   51.  -80.       237.   40. -102.   12.98   39.61  0.43852E-07  0.16255E+17
     9   -1.5000    0.6656        73.   51.  -78.       234.   40. -104.   13.87   39.04  0.39844E-07  0.17298E+17
     9   -1.2000    0.7042        74.   52.  -77.       233.   40. -106.   14.73   38.54  0.36060E-07  0.18221E+17
     9   -0.9000    0.7376       232.   40. -108.        74.   52.  -76.   15.56   38.09  0.32619E-07  0.19014E+17
     9   -0.6000    0.7653       230.   40. -109.        75.   52.  -75.   16.38   37.69  0.29635E-07  0.19670E+17
     9   -0.3000    0.7872       230.   40. -110.        75.   52.  -74.   17.17   37.32  0.27202E-07  0.20182E+17
     9    0.0000    0.8031       229.   41. -111.        75.   53.  -73.   17.96   36.98  0.25402E-07  0.20546E+17
     9    0.3000    0.8127       228.   41. -111.        75.   53.  -73.   18.75   36.66  0.24292E-07  0.20757E+17
     9    0.6000    0.8159       228.   41. -111.        75.   53.  -73.   19.54   36.34  0.23911E-07  0.20814E+17
     9    0.9000    0.8128       227.   41. -112.        75.   53.  -73.   20.36   36.04  0.24270E-07  0.20716E+17
     9    1.2000    0.8034       227.   41. -112.        75.   53.  -72.   21.20   35.73  0.25360E-07  0.20463E+17
     9    1.5000    0.7878       227.   40. -112.        74.   53.  -73.   22.08   35.42  0.27143E-07  0.20057E+17
     9    1.8000    0.7660       227.   40. -111.        74.   53.  -73.   23.02   35.10  0.29563E-07  0.19503E+17
     9    2.1000    0.7383       226.   40. -111.        73.   53.  -73.   24.04   34.76  0.32540E-07  0.18804E+17
    10   -2.1000    0.5732        78.   53.  -72.       230.   41. -112.    4.17   44.63  0.48028E-07  0.16126E+17
    10   -1.8000    0.6216        80.   53.  -68.       227.   42. -116.    5.23   43.99  0.43897E-07  0.17354E+17
    10   -1.5000    0.6655       225.   42. -119.        82.   54.  -66.    6.20   43.45  0.39856E-07  0.18464E+17
    10   -1.2000    0.7045       224.   43. -120.        82.   54.  -65.    7.11   42.97  0.36032E-07  0.19445E+17
    10   -0.9000    0.7383       223.   43. -121.        82.   55.  -64.    7.95   42.56  0.32547E-07  0.20289E+17
    10   -0.6000    0.7664       222.   43. -122.        82.   55.  -64.    8.75   42.18  0.29513E-07  0.20988E+17
    10   -0.3000    0.7888       222.   43. -122.        82.   55.  -64.    9.50   41.84  0.27028E-07  0.21534E+17
    10    0.0000    0.8050       221.   43. -122.        82.   55.  -64.   10.23   41.52  0.25174E-07  0.21921E+17
    10    0.3000    0.8151       221.   43. -122.        81.   55.  -64.   10.94   41.22  0.24011E-07  0.22147E+17
    10    0.6000    0.8188       221.   43. -122.        81.   55.  -64.   11.64   40.94  0.23578E-07  0.22209E+17
    10    0.9000    0.8161       221.   43. -121.        80.   55.  -65.   12.33   40.66  0.23889E-07  0.22105E+17
    10    1.2000    0.8071       221.   42. -121.        80.   54.  -65.   13.04   40.39  0.24934E-07  0.21837E+17
    10    1.5000    0.7919       221.   42. -120.        79.   54.  -66.   13.77   40.12  0.26678E-07  0.21407E+17
    10    1.8000    0.7705       221.   42. -119.        78.   54.  -66.   14.54   39.83  0.29066E-07  0.20818E+17
    10    2.1000    0.7432       222.   42. -118.        77.   54.  -67.   15.36   39.53  0.32019E-07  0.20076E+17
    11   -2.1000    0.5779        98.   64.  -41.       210.   54. -146.    2.26   47.34  0.47643E-07  0.17271E+17
    11   -1.8000    0.6261       210.   53. -145.        97.   63.  -43.    3.10   46.81  0.43496E-07  0.18563E+17
    11   -1.5000    0.6697       211.   52. -143.        96.   62.  -44.    3.84   46.35  0.39448E-07  0.19728E+17
    11   -1.2000    0.7085       211.   52. -143.        95.   62.  -45.    4.51   45.96  0.35625E-07  0.20757E+17
    11   -0.9000    0.7420       211.   51. -142.        94.   61.  -46.    5.12   45.61  0.32150E-07  0.21638E+17
    11   -0.6000    0.7699       211.   51. -141.        94.   61.  -47.    5.68   45.30  0.29134E-07  0.22364E+17
    11   -0.3000    0.7919       211.   50. -140.        93.   60.  -47.    6.19   45.02  0.26676E-07  0.22928E+17
    11    0.0000    0.8078       211.   50. -139.        92.   60.  -48.    6.67   44.76  0.24855E-07  0.23324E+17
    11    0.3000    0.8175       211.   49. -138.        91.   60.  -49.    7.13   44.53  0.23732E-07  0.23547E+17
